年	月	日	時	分	縣市	allLocation	GoogleLat	GoogleLng	死	受傷	2-30	天候	光線	道路類別	速限	道路型態	事故位置	路面鋪裝	路面狀態	路面缺陷	障礙物	視距	號誌種類	號誌動作	分向設施	快車道或一般車道間	快慢車道間	路面邊線	事故類型及型態	事故類別
2012	1	1	8	20	新竹市	新竹市1光復路一段311號	24.782285	121.018745				8			50															3
2012	1	1	11	50	新竹市	新竹市1公道五路二段345號	24.80357935	120.9961211				8			50															3
2012	1	1	15	52	新竹市	新竹市2西濱快速道路東大路口	24.8682845	120.9533929	0	2	0	7	1	5	50	4	1	1	5	4	5	7	2	1	10	5	5	2	16	2
2012	1	1	2	46	新竹市	新竹市2北大路230號	24.8078131	120.964634				8			50															3
2012	1	1	18	58	新竹市	新竹市2西大路581號	24.809453	120.959526	0	1	0	7	3	5	50	14	9	1	5	4	5	7	4	4	9	5	5	2	16	2
2012	1	1	5	48	新竹市	新竹市3香北路大庄路路口	24.7911918	120.9265043	0	1	0	8	3	5	50	14	9	1	5	4	5	7	4	4	5	5	5	2	18	2
2012	1	1	22	4	新竹市	新竹市3中華路六段256巷	24.74265185	120.9081092	0	3	0	8	3	5	60	4	1	1	5	4	5	7	1	1	10	5	5	2	15	2
2012	1	2	9	25	新竹市	新竹市2東大路三段686號	24.83324075	120.9468056	0	0	0	8	1	5	50	14	9	1	5	4	5	7	4	4	10	5	5	2	12	3
2012	1	2	10	50	新竹市	新竹市3經國路三段牛埔路路口	24.7991891	120.9533827				8			50															3
2012	1	2	3	52	新竹市	新竹市3牛埔東路牛埔南路路口	24.7922354	120.9323808				8			50															3
2012	1	2	15	3	新竹市	新竹市3中華路五段664巷	24.7677206	120.9158014	0	2	0	8	1	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	12	2
2012	1	2	21	45	新竹市	新竹市2中正路經國路路口	24.8119989	120.9644536				8			50															3
2012	1	2	20	32	新竹市	新竹市2經國路一段824號	24.8140991	120.968693				8			50															3
2012	1	2	19	52	新竹市	新竹市1明湖路436號	24.7845022	120.9674484				8			40															3
2012	1	1	14	55	新竹市	新竹市1光復路二段忠孝路路口	24.8001525	120.9896318	0	4	0	8	1	5	50	4	1	1	5	4	5	7	2	1	10	5	5	2	15	2
2012	1	2	22	2	新竹市	新竹市1中華路一段9號	24.818963	120.995719				8			50															3
2012	1	2	19	0	新竹市	新竹市2城北街73巷	24.8102286	120.9629201				8			50															3
2012	1	2	21	30	新竹市	新竹市1西大路186號	24.797621	120.969173	0	1	0	7	1	5	50	4	8	1	5	4	5	7	4	4	5	4	5	2	16	2
