ID,LONGITUDE,LATITUDE,LOG1,LOG2,PREDIAL1,LOCAL,TIPO_ACID,LOCAL_VIA,QUEDA_ARR,DATA,DATA_HORA,DIA_SEM,HORA,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,FONTE,BOLETIM,REGIAO,DIA,MES,ANO,FX_HORA,CONT_ACID,CONT_VIT,UPS,CONSORCIO,CORREDOR
623243,-51.233864,-30.085209,R ARAPEI,R COMANDAI,0,Cruzamento,ATROPELAMENTO,R ARAPEI & R COMANDAI,0,2016-01-01,2016-01-01T14:30:00,SEXTA-FEIRA,14:30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,DEPTRAN,056416,SUL,1,1,2016,14,1,1,5,,0
622413,-51.231947,-30.108313,R PADRE JOAO BATISTA REUS,R JOAO MORA,0,Cruzamento,ABALROAMENTO,R PADRE JOAO BATISTA REUS & R JOAO MORA,0,2016-01-01,2016-01-01T16:45:00,SEXTA-FEIRA,16:45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,EPTC,294286,SUL,1,1,2016,16,1,0,1,,0
622460,-51.212026,-30.045868,AV DO LAMI,,0,Logradouro,ATROPELAMENTO,AV DO LAMI,0,2016-01-01,2016-01-01T16:30:00,SEXTA-FEIRA,16:30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,DEPTRAN,013316,CENTRO,1,1,2016,16,1,1,5,,0
622540,-51.185614,-30.034456,AV DR NILO PECANHA,R CARLOS TREIN FILHO,0,Cruzamento,CHOQUE,AV DR NILO PECANHA & R CARLOS TREIN FILHO,0,2016-01-01,2016-01-01T05:45:00,SEXTA-FEIRA,05:45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,EPTC,291292,LESTE,1,1,2016,5,1,0,1,,0
622181,-51.097360,-30.131425,ESTR JOAO DE OLIVEIRA REMIAO,,8487,Logradouro,CHOQUE,8487 ESTR JOAO DE OLIVEIRA REMIAO,0,2016-01-01,2016-01-01T12:00:00,SEXTA-FEIRA,12:00,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,DEPTRAN,000216,LESTE,1,1,2016,12,1,1,13,,0
622232,-51.225022,-30.046900,AV IPIRANGA,,320,Logradouro,COLISAO,320 AV IPIRANGA,0,2016-01-02,2016-01-02T15:35:00,SABADO,15:35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,BOM,DIA,DDT,010031116,CENTRO,2,1,2016,15,1,0,1,,0
622414,-51.221523,-30.059818,R JOSE DE ALENCAR,,965,Logradouro,COLISAO,965 R JOSE DE ALENCAR,0,2016-01-02,2016-01-02T16:25:00,SABADO,16:25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,EPTC,288968,SUL,2,1,2016,16,1,0,1,,0
622186,-51.218406,-30.045945,AV ERICO VERISSIMO,,240,Logradouro,ABALROAMENTO,240 AV ERICO VERISSIMO,0,2016-01-02,2016-01-02T18:30:00,SABADO,18:30,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,BOM,NOITE,DEPTRAN,004616,CENTRO,2,1,2016,18,1,1,5,STS,0
622235,-51.215827,-30.043633,R GEN LIMA E SILVA,,1445,Logradouro,COLISAO,1445 R GEN LIMA E SILVA,0,2016-01-02,2016-01-02T22:30:00,SABADO,22:30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,DDT,010038916,CENTRO,2,1,2016,22,1,0,1,,0
622185,-51.200627,-30.004450,AV EDVALDO PEREIRA PAIVA,,0,Logradouro,QUEDA,AV EDVALDO PEREIRA PAIVA,0,2016-01-02,2016-01-02T06:30:00,SABADO,06:30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,DEPTRAN,003416,NORTE,2,1,2016,6,1,1,5,,0
